Pixels,Controle_1,Omo_1,Vanish_1,Sabao_1,Candida_1
0,181.53,167.92,162.47,167.53,161.08
1,181.87,162.93,161.83,165.58,160.05
2,177.88,164.71,162.97,167.10,160.50
3,169.60,169.51,164.57,168.68,159.07
4,167.06,175.35,165.01,169.85,158.35
5,170.12,175.41,164.80,171.07,159.78
6,175.30,168.85,165.81,170.69,161.19
7,182.15,164.47,164.09,168.77,161.11
8,186.78,166.93,164.22,168.04,159.75
9,178.25,169.21,160.25,168.55,158.43
10,167.53,171.22,160.86,169.70,159.31
11,163.28,165.95,166.07,168.63,161.02
12,166.19,161.30,167.19,169.33,160.21
13,173.79,160.97,166.41,169.13,160.46
14,181.09,166.03,166.03,168.84,160.18
15,181.63,169.61,164.84,169.02,158.56
16,176.56,171.13,165.57,167.45,156.24
17,167.12,168.55,165.91,166.42,157.75
18,165.04,168.11,166.12,168.45,157.75
19,170.95,167.19,162.56,170.57,159.05
20,178.88,170.41,160.68,171.63,159.97
21,181.38,170.45,162.26,171.47,160.72
22,178.08,166.77,166.79,170.06,161.72
23,169.66,162.58,167.14,166.51,161.19
24,167.24,162.29,165.51,167.20,162.18
25,169.48,167.95,160.80,168.48,160.83
26,174.74,171.31,159.72,170.36,159.57
27,179.84,169.43,163.15,172.03,158.05
28,183.45,169.26,164.34,171.77,157.94
29,180.50,169.41,163.87,167.19,159.57
30,176.42,168.91,161.82,167.51,161.33
31,168.98,169.47,160.38,166.88,162.05
32,167.32,169.18,162.93,169.40,162.76
33,170.31,164.37,164.07,170.92,161.37
34,176.85,163.14,164.01,171.47,157.83
35,180.84,166.15,164.48,170.94,157.41
36,181.44,169.38,163.57,168.81,159.36
37,175.73,170.91,161.06,166.49,160.77
38,166.69,170.40,163.91,166.50,160.83
39,162.64,166.86,164.65,167.63,160.69
40,166.96,165.51,164.01,170.11,159.56
41,174.22,169.17,162.39,170.75,159.52
42,179.96,172.64,160.36,169.93,159.39
43,179.52,170.00,161.35,169.07,159.19
44,175.41,166.29,162.96,168.59,158.80
45,167.96,164.53,163.56,167.64,159.35
46,163.96,166.15,163.39,168.20,160.61
47,165.13,170.84,163.23,168.97,160.97
48,173.18,171.35,163.57,170.34,160.19
49,179.08,168.95,161.76,170.96,158.22
50,178.77,168.32,161.87,172.24,158.93
51,171.30,168.10,163.04,169.87,158.57
52,166.19,168.52,162.73,167.84,160.47
53,166.40,171.44,162.68,168.49,161.27
54,168.05,170.44,165.23,168.52,162.50
55,174.11,166.19,164.50,168.34,163.02
56,179.59,161.09,165.96,168.48,161.58
57,175.22,162.33,163.98,170.10,159.66
58,168.55,167.76,163.14,170.75,158.31
59,165.21,171.95,162.58,169.77,158.23
60,167.77,171.75,161.73,169.61,161.93
61,175.80,168.73,162.75,171.09,162.40
62,181.72,166.01,163.73,171.47,161.01
63,178.32,169.30,162.57,170.00,160.25
64,171.89,171.07,162.33,168.20,161.41
65,162.59,168.47,162.78,167.57,161.59
66,161.75,164.82,163.07,167.93,161.83
67,167.33,162.40,163.76,169.43,160.66
68,175.97,164.86,163.89,169.99,161.53
69,181.10,171.60,163.32,170.50,160.53
70,181.88,174.18,163.99,171.01,160.00
71,176.43,170.88,163.95,169.89,159.87
72,169.80,168.35,165.65,168.87,161.69
73,165.13,168.83,164.19,169.13,160.40
74,165.44,172.57,161.83,167.99,159.00
75,170.41,172.36,162.29,167.81,157.60
76,178.07,173.44,164.99,169.26,156.46
77,181.07,168.60,166.94,170.98,157.02
78,178.36,164.40,168.01,170.43,158.87
79,168.99,164.05,165.05,169.23,160.80
80,165.19,167.60,164.13,168.65,160.26
81,165.39,172.33,163.69,169.09,158.80
82,169.20,173.99,165.45,167.54,161.16
83,177.29,168.40,166.35,168.41,161.28
84,183.49,167.66,166.89,168.45,161.17
85,183.10,169.31,166.81,168.00,159.98
86,174.87,170.77,165.13,167.91,160.04
87,164.33,171.45,164.29,168.83,157.87
88,163.55,170.05,166.27,169.72,157.15
89,166.36,165.13,166.74,169.75,158.87
90,174.82,161.29,165.01,169.41,162.57
91,181.71,161.58,165.56,169.59,163.24
92,181.48,169.45,164.30,168.47,163.36
93,174.35,171.77,163.49,167.31,163.51
94,167.86,168.79,163.69,168.07,161.85
95,162.82,164.83,163.69,169.49,161.44
96,166.33,167.75,164.09,170.79,162.02
97,173.65,170.88,163.80,171.14,162.17
98,179.33,171.92,163.15,169.79,161.26
99,180.29,169.65,166.43,167.57,161.20
100,177.39,166.08,169.30,167.38,161.47
101,168.75,161.61,166.94,167.56,160.91
102,162.93,161.57,166.17,168.32,160.07
103,164.84,167.53,162.93,167.87,159.09
104,173.37,171.28,163.33,168.80,157.68
105,180.79,169.72,166.64,168.17,158.41
106,182.93,167.47,168.06,166.69,160.59
107,179.15,166.43,165.31,167.11,163.49
108,171.53,171.68,164.05,168.53,164.07
109,163.88,174.35,164.49,170.18,164.05
110,161.38,171.70,166.80,171.23,162.44
111,166.01,166.16,166.67,170.80,159.73
112,173.98,161.23,166.71,170.95,160.77
113,180.96,164.35,166.03,170.23,160.61
114,183.60,172.88,164.24,169.20,160.78
115,178.98,178.17,164.32,168.87,160.93
116,171.26,175.95,161.77,167.73,162.48
117,165.53,169.03,161.59,169.38,160.32
118,165.60,165.00,163.66,171.07,155.95
119,171.75,167.58,162.45,168.14,156.39
120,182.17,174.40,163.05,166.27,159.13
121,182.67,174.57,164.52,167.17,163.01
122,175.95,169.50,165.24,166.30,164.49
123,165.73,163.82,165.65,166.53,163.63
124,161.48,164.17,164.39,167.96,161.21
125,163.59,168.15,165.43,169.69,158.25
126,167.35,174.10,166.36,170.40,157.89
127,174.93,170.63,165.50,169.18,159.87
128,182.83,165.64,165.97,168.66,162.05
129,181.88,163.90,165.48,166.74,162.56
130,177.03,168.87,164.47,165.78,161.68
131,165.85,173.31,165.45,167.37,158.26
132,162.09,174.99,165.93,168.73,156.44
133,166.10,165.79,164.68,170.05,158.51
134,173.13,158.17,163.39,170.53,160.87
135,180.13,157.48,161.97,168.96,163.91
136,183.85,165.59,164.13,168.99,165.11
137,177.57,172.11,164.68,168.33,163.97
138,166.38,172.03,165.91,167.25,160.97
139,160.12,167.54,165.04,167.84,158.62
140,162.05,166.32,163.97,167.39,158.68
141,169.14,168.94,162.76,166.16,159.37
142,176.89,170.64,163.43,168.82,160.08
143,180.20,170.45,164.17,169.82,162.93
144,178.02,168.69,166.21,169.44,163.23
145,166.90,165.83,166.40,169.04,162.25
146,163.97,165.59,165.79,169.11,163.17
147,168.17,168.86,164.35,169.18,159.40
148,173.93,172.73,162.96,168.06,159.51
149,182.37,171.27,162.32,167.52,159.64
,,,,,
